活動	スコア	スコアの理由	関連する業務要求	関連する目的
チーム企画モデル共有運用設計	13	企画モデルの一元管理・共有のための運用ルールを策定する活動であり、チーム運用に寄与するが機能だけでも最低限は対応可能	チームで作成した企画モデルを一元管理・共有できること	組織・チームへの匠Method均質浸透の支援
提案書即時生成後の顧客向け説明準備	13	AI生成の提案書を顧客に提示する前に説明資料を準備する運用活動であり、人間の付加価値として重要だが必須ではない	企画モデルをもとに企画提案書を迅速に生成できること	企画モデルから提案書・計画書までの一貫生成
多案件並行対応体制構築	13	ファシリテーターの同時対応案件数を拡大するための体制設計であり、段階的に進めることが可能な組織設計活動	AIの活用により、ファシリテーターが同時対応できる案件数を拡大できること	モデリング自動生成による企画プロセスの加速
案件進行状況レビュー会議運営	13	複数案件の進行状況を定期的にレビューする会議運営であり、管理負荷削減に寄与するが通常のプロジェクト管理手法で対応可能	企画プロセスの進行管理をAIが支援し、ファシリテーターの管理負荷を削減できること	ステップガイドによる次アクション・判断基準の明確化
ROI試算・経営層向け説明対応	13	ROI・投資対効果の試算ロジック設計と経営層向け説明を行う活動であり、意思決定支援に有用だが手動でも対応可能	企画のROI・投資対効果を可視化し、経営層の意思決定を支援できること	企画モデルから提案書・計画書までの一貫生成
AI技術内製化トレーニング	8	組織内のAIエージェント開発・運用スキル習熟のための研修体制を整備する活動であり、有用だが外部教育リソースでも代替可能	AIエージェント開発・運用を通じて組織のAI技術力を蓄積できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
AI活用透明性説明・経営層向けレポーティング	8	AIの関与を経営層に説明しリスク懸念を解消する報告活動であり、透明性向上に有用だがなくてもサービスの本質的価値は担保される	AI活用の透明性・信頼性を確保し、経営層のAI導入リスクを低減できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
LLM APIベンダー選定・契約管理	8	生成AIプラットフォームのベンダー選定・契約管理を行う活動であり、必要だが一度決定すれば低頻度の管理活動	生成AIプラットフォームのAPIを継続的・安定的に活用できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
生成AI活用ユースケース検証・発信	8	生成AI活用のユースケースを検証・評価し知見を発信する活動であり、有用だが直接的な価値創造ではなく補助的な活動	ビジネス企画モデリングにおける生成AI活用の実用ユースケースを確立できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
ユーザーフィードバック収集・改善提案	8	ツール利用者からフィードバックを収集し改善に資する知見を整理する活動であり、有用だが手動収集でも代替可能な補助的活動	生成AIモデルの改善に資するフィードバックを収集・提供できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
