名前	種別	スコア	スコアの理由	関連する業務要求	関連する目的
匠Method学習コンテンツ連携機能	IT要求	21	ツール利用を通じた匠Method習熟の主要手段であり、インラインでの解説提示は学習体験の中核だが、外部教材で一部補完可能	ツールの利用を通じて匠Methodを学習・習熟できること	ステップガイドによる次アクション・判断基準の明確化
AI生成成果物レビュー機能	IT要求	21	AIが生成した成果物をファシリテーターが確認・修正・承認するインターフェースであり、品質保証の主要手段だがテキストベースの確認でも一部代替可能	AIが生成した企画モデルの品質をファシリテーターが確認・保証できること	品質基準に基づく自動検証・改善提案の提供
ブランド品質ガイドライン検証機能	IT要求	21	匠Methodブランドの品質基準を自動検証する機能であり、ブランド保護の主要手段だが人間のレビューで一部代替可能	匠Methodブランドの品質基準を維持・保護できること	品質基準に基づく自動検証・改善提案の提供
多案件並行管理・スケーリング機能	IT要求	21	ファシリテーターが複数案件を並行管理するためのプロジェクト管理機能であり、対応案件数拡大の主要手段だがスプレッドシート等で一部代替可能	AIの活用により、ファシリテーターが同時対応できる案件数を拡大できること	モデリング自動生成による企画プロセスの加速
外部普及・パブリッシュ機能	IT要求	21	成果物をWebページ・PDF等で外部公開するエクスポート機能であり、匠Method社会普及の主要手段だが手動での公開も一部可能	ツールを通じて匠Methodを広く社会に普及・拡大できること	匠Methodの知見を誰でも活用できる民主化の実現
提案書即時生成機能	IT要求	21	企画モデルをワンクリックで提案書に変換する機能であり、迅速な提案を支える主要手段だが企画書・計画書自動生成機能と一部機能が重複	企画モデルをもとに企画提案書を迅速に生成できること	企画モデルから提案書・計画書までの一貫生成
ファシリテーター役割再定義	活動	21	AI導入後のファシリテーターの役割・責任範囲を見直す活動であり、本質的対話への集中を支える重要な組織設計だが段階的に進めることも可能	AIがモデリング作業を代替し、ファシリテーターの業務負荷を軽減できること	ファシリテーターの本質的対話への集中支援
企画アイデア入力レビュー運用	活動	21	ユーザーの入力品質を高めるフォローアップ運用であり、モデル生成の品質に間接的に寄与する重要な運用活動	企画アイデアを入力すると即時にモデルを生成できること	モデリング自動生成による企画プロセスの加速
品質評価結果の説明・フォローアップ対応	活動	21	品質評価結果をユーザーが正しく解釈できるよう補足説明・助言を行う活動であり、品質可視化の価値を最大化する重要な運用	成果物の品質評価結果をユーザーに分かりやすく可視化できること	品質基準に基づく自動検証・改善提案の提供
提案書・計画書生成後の人的レビュー	活動	21	AI自動生成された提案書に対して人間が整合性・適切さを確認する品質保証活動であり、エンドツーエンド生成の信頼性を支える重要ステップ	企画モデルから提案書・計画書を一貫して自動生成できること	企画モデルから提案書・計画書までの一貫生成
匠Method学習カリキュラム設計	活動	21	ツール利用を通じた匠Method習熟のカリキュラム・演習課題を設計する活動であり、ステップガイドの教育的価値を支える重要な設計活動	ツールの利用を通じて匠Methodを学習・習熟できること	ステップガイドによる次アクション・判断基準の明確化
フェーズ別判断ガイダンス設計	活動	21	各フェーズでの判断基準を明確にするガイダンスコンテンツを専門家が設計する活動であり、ステップガイド機能の内容品質を決定する重要な活動	各フェーズ・ステップで何を判断すべきかのガイダンスを提供できること	ステップガイドによる次アクション・判断基準の明確化
顧客対話ファシリテーション実践	活動	21	AIの支援を活かしてファシリテーターが顧客との本質的対話に集中する実践活動であり、価値創造の直接的な行動指針	ファシリテーターが顧客との本質的な対話に集中できること	ファシリテーターの本質的対話への集中支援
AI生成成果物ファシリテーター承認フロー整備	活動	21	AIが生成した成果物をファシリテーターが段階的に確認・承認する体制を整備する活動であり、品質保証プロセスの主要な運用設計	AIが生成した企画モデルの品質をファシリテーターが確認・保証できること	品質基準に基づく自動検証・改善提案の提供
匠Method社会普及キャンペーン運営	活動	21	匠Methodの広報活動・パートナーシップ開拓・イベント企画を運営する活動であり、社会普及に直接貢献するが代替手段も存在	ツールを通じて匠Methodを広く社会に普及・拡大できること	匠Methodの知見を誰でも活用できる民主化の実現
組織内匠Method定着支援活動	活動	21	社内研修・勉強会・実践ワークショップを通じて匠Methodの組織浸透を支援する活動であり、均質浸透の実践的な推進力	組織全体に匠Methodを均質に浸透・定着させられること	組織・チームへの匠Method均質浸透の支援
ブランド品質基準維持・監査	活動	21	匠Methodブランドの品質基準を定期的に監査し逸脱を是正する活動であり、ブランド保護の継続的な品質管理活動	匠Methodブランドの品質基準を維持・保護できること	品質基準に基づく自動検証・改善提案の提供
品質評価可視化ダッシュボード	IT要求	13	品質検証結果をスコアや指標で視覚的に表示するダッシュボードであり、ユーザー体験を向上させるがテキストレポートでも最低限は代替可能	成果物の品質評価結果をユーザーに分かりやすく可視化できること	品質基準に基づく自動検証・改善提案の提供
非同期バッチ処理機能	IT要求	13	モデル生成等をバックグラウンドで非同期実行するジョブ管理機能であり、業務並行を支援するが同期処理でも業務自体は成立する	通常業務と並行して企画プロセスを非同期に進められること	モデリング自動生成による企画プロセスの加速
進行管理・プロセストラッキング機能	IT要求	13	企画プロセスの進捗をAIが管理・可視化する機能であり、管理負荷削減に寄与するが手動管理でも業務は成立する	企画プロセスの進行管理をAIが支援し、ファシリテーターの管理負荷を削減できること	ステップガイドによる次アクション・判断基準の明確化
ROI・投資対効果可視化機能	IT要求	13	価値概念のインパクト評価等を統合してROIを可視化するレポート生成機能であり、意思決定支援に有用だが手動試算でも代替可能	企画のROI・投資対効果を可視化し、経営層の意思決定を支援できること	企画モデルから提案書・計画書までの一貫生成
マルチテナント・組織管理機能	IT要求	13	法人向けの組織階層管理・利用統計機能であり、組織浸透の補完的手段だが個別アカウントでも最低限は運用可能	組織全体に匠Methodを均質に浸透・定着させられること	組織・チームへの匠Method均質浸透の支援
品質統一テンプレート・スタイルガイド機能	IT要求	13	チームの記述スタイル・フォーマットを統一するテンプレート管理機能であり、品質統一に寄与するが人間のルール策定で一部代替可能	複数メンバーが関与する企画モデリングの品質を統一できること	組織・チームへの匠Method均質浸透の支援
LLM API統合・フォールバック管理機能	IT要求	13	生成AIプラットフォームAPIの統合レイヤーであり、安定運用に貢献するが単一プロバイダーへの直接接続でも最低限は動作する	生成AIプラットフォームのAPIを継続的・安定的に活用できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
チーム向けモデリング品質統一ルール策定	活動	13	チーム内の表記・用語・粒度を統一する規約を策定する活動であり、品質統一に寄与するがテンプレート機能で一部自動化可能	複数メンバーが関与する企画モデリングの品質を統一できること	組織・チームへの匠Method均質浸透の支援
非同期作業ルール・コミュニケーション設計	活動	13	非同期での企画プロセス進行のためのチーム内ルール・フローを設計する活動であり、業務並行に寄与するが必須ではない	通常業務と並行して企画プロセスを非同期に進められること	モデリング自動生成による企画プロセスの加速
チーム企画モデル共有運用設計	活動	13	企画モデルの一元管理・共有のための運用ルールを策定する活動であり、チーム運用に寄与するが機能だけでも最低限は対応可能	チームで作成した企画モデルを一元管理・共有できること	組織・チームへの匠Method均質浸透の支援
提案書即時生成後の顧客向け説明準備	活動	13	AI生成の提案書を顧客に提示する前に説明資料を準備する運用活動であり、人間の付加価値として重要だが必須ではない	企画モデルをもとに企画提案書を迅速に生成できること	企画モデルから提案書・計画書までの一貫生成
多案件並行対応体制構築	活動	13	ファシリテーターの同時対応案件数を拡大するための体制設計であり、段階的に進めることが可能な組織設計活動	AIの活用により、ファシリテーターが同時対応できる案件数を拡大できること	モデリング自動生成による企画プロセスの加速
案件進行状況レビュー会議運営	活動	13	複数案件の進行状況を定期的にレビューする会議運営であり、管理負荷削減に寄与するが通常のプロジェクト管理手法で対応可能	企画プロセスの進行管理をAIが支援し、ファシリテーターの管理負荷を削減できること	ステップガイドによる次アクション・判断基準の明確化
ROI試算・経営層向け説明対応	活動	13	ROI・投資対効果の試算ロジック設計と経営層向け説明を行う活動であり、意思決定支援に有用だが手動でも対応可能	企画のROI・投資対効果を可視化し、経営層の意思決定を支援できること	企画モデルから提案書・計画書までの一貫生成
AI処理透明性レポート機能	IT要求	8	AI生成成果物の根拠・推論過程を記録・開示する機能であり、透明性向上に有用だがなくてもサービスの本質的価値は担保される	AI活用の透明性・信頼性を確保し、経営層のAI導入リスクを低減できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
フィードバック収集・改善データ蓄積機能	IT要求	8	ユーザーの評価・フィードバックを蓄積・分析する機能であり、改善に有用だが手動のフィードバック収集でも代替可能	生成AIモデルの改善に資するフィードバックを収集・提供できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
ユースケースライブラリ・事例蓄積機能	IT要求	8	生成AI活用の実用ユースケースを体系化・蓄積するライブラリ機能であり、有用だが個別事例の手動管理でも代替可能	ビジネス企画モデリングにおける生成AI活用の実用ユースケースを確立できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
AI技術スタック管理・ナレッジ共有機能	IT要求	8	AIエージェント開発の技術知見を組織内で管理・共有する機能であり、有用だが一般的なナレッジ管理ツールで代替可能	AIエージェント開発・運用を通じて組織のAI技術力を蓄積できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
匠Method普及ダッシュボード機能	IT要求	8	普及指標をトラッキングする活動支援ダッシュボードであり、有用だがなくても普及活動自体は実施可能	ファシリテーターが匠Methodをより多くの組織・個人に普及させられること	匠Methodの知見を誰でも活用できる民主化の実現
AI技術内製化トレーニング	活動	8	組織内のAIエージェント開発・運用スキル習熟のための研修体制を整備する活動であり、有用だが外部教育リソースでも代替可能	AIエージェント開発・運用を通じて組織のAI技術力を蓄積できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
AI活用透明性説明・経営層向けレポーティング	活動	8	AIの関与を経営層に説明しリスク懸念を解消する報告活動であり、透明性向上に有用だがなくてもサービスの本質的価値は担保される	AI活用の透明性・信頼性を確保し、経営層のAI導入リスクを低減できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
LLM APIベンダー選定・契約管理	活動	8	生成AIプラットフォームのベンダー選定・契約管理を行う活動であり、必要だが一度決定すれば低頻度の管理活動	生成AIプラットフォームのAPIを継続的・安定的に活用できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
生成AI活用ユースケース検証・発信	活動	8	生成AI活用のユースケースを検証・評価し知見を発信する活動であり、有用だが直接的な価値創造ではなく補助的な活動	ビジネス企画モデリングにおける生成AI活用の実用ユースケースを確立できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
ユーザーフィードバック収集・改善提案	活動	8	ツール利用者からフィードバックを収集し改善に資する知見を整理する活動であり、有用だが手動収集でも代替可能な補助的活動	生成AIモデルの改善に資するフィードバックを収集・提供できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
