活動	説明	業務要求
フェーズ別判断ガイダンス設計	各フェーズ・ステップでユーザーが何を判断すべきかを明確にするガイダンスコンテンツを、匠Method専門家が設計・作成・更新する。	各フェーズ・ステップで何を判断すべきかのガイダンスを提供できること
チーム企画モデル共有運用設計	チームで作成した企画モデルの一元管理・共有のための運用ルール（アクセス権限・版管理・更新通知等）を策定し、実際の運用を主導する。	チームで作成した企画モデルを一元管理・共有できること
提案書即時生成後の顧客向け説明準備	AI生成の企画提案書を顧客に提示する前に、担当者が内容を精査し、顧客の文脈に合わせた説明資料・補足コメントを準備する運用を定める。	企画モデルをもとに企画提案書を迅速に生成できること
顧客対話ファシリテーション実践	ファシリテーターがAIによるモデリング作業の代替を活かし、顧客との対話・本質的な課題探索・合意形成に集中して実践するための行動指針を定め、遵守する。	ファシリテーターが顧客との本質的な対話に集中できること
案件進行状況レビュー会議運営	ファシリテーターが複数案件の進行状況を定期的にレビューし、遅延・課題を早期に発見・対処するための会議体・報告フローを設計・運営する。	企画プロセスの進行管理をAIが支援し、ファシリテーターの管理負荷を削減できること
AI生成成果物ファシリテーター承認フロー整備	AIが生成した企画モデルをファシリテーターが段階的に確認・承認するためのチェックリスト・承認フロー・責任体制を整備し、運用する。	AIが生成した企画モデルの品質をファシリテーターが確認・保証できること
多案件並行対応体制構築	ファシリテーターがAI活用を前提に同時対応可能な案件数を拡大するため、担当アサイン方式・優先度管理・エスカレーション体制を設計・運用する。	AIの活用により、ファシリテーターが同時対応できる案件数を拡大できること
匠Method普及活動の企画・実施	ファシリテーターが匠Methodをより多くの組織・個人に普及させるための講演・研修・コミュニティ活動を企画し、継続的に実施する。	ファシリテーターが匠Methodをより多くの組織・個人に普及させられること
匠Method正確性検証レビュー	AIエージェントが生成した成果物が匠Methodを正確に体現しているかを、匠Method専門家が定期的にレビューし、フィードバックをエンジン改善に反映する。	AIエージェントが匠Methodを正確に体現した成果物を生成できること
匠Method社会普及キャンペーン運営	ツールを通じて匠Methodを広く社会に普及・拡大するための広報活動・パートナーシップ開拓・イベント企画を立案し、継続的に運営する。	ツールを通じて匠Methodを広く社会に普及・拡大できること
ブランド品質基準維持・監査	匠Methodブランドの品質基準を定義した上で、ツールおよびコンサルタントが提供する成果物がその基準を満たしているかを定期的に監査し、逸脱を是正する。	匠Methodブランドの品質基準を維持・保護できること
ROI試算・経営層向け説明対応	企画のROI・投資対効果を算定するための試算ロジックを人間が設計し、経営層向けのレビュー会議で結果を説明・質疑応答を行う運用を整える。	企画のROI・投資対効果を可視化し、経営層の意思決定を支援できること
組織内匠Method定着支援活動	組織全体に匠Methodを均質に浸透させるため、社内研修・勉強会・実践ワークショップを企画・実施し、習熟度をモニタリングして継続的に支援する。	組織全体に匠Methodを均質に浸透・定着させられること
AI活用透明性説明・経営層向けレポーティング	AIが企画モデリングにどのように関与しているかを経営層に定期的に説明し、リスク・信頼性に関する懸念を解消するための報告会・Q&A対応を実施する。	AI活用の透明性・信頼性を確保し、経営層のAI導入リスクを低減できること
LLM APIベンダー選定・契約管理	生成AIプラットフォームのAPIを継続的・安定的に活用するため、ベンダー選定・契約交渉・利用条件の定期見直し・障害時の代替対応を人間が主導する。	生成AIプラットフォームのAPIを継続的・安定的に活用できること
生成AI活用ユースケース検証・発信	ビジネス企画モデリングにおける生成AI活用の実用ユースケースを社内外で継続的に検証・評価し、成功事例・知見を論文・ブログ・講演で発信する。	ビジネス企画モデリングにおける生成AI活用の実用ユースケースを確立できること
ユーザーフィードバック収集・改善提案	ツール利用者からのフィードバックを収集するためのアンケート・インタビュー・利用ログレビューを実施し、生成AIモデルの改善に資する知見を整理・提供する。	生成AIモデルの改善に資するフィードバックを収集・提供できること
