IT要求	スコア	スコアの理由	関連する業務要求	関連する目的
ブランド品質ガイドライン検証機能	21	匠Methodブランドの品質基準を自動検証する機能であり、ブランド保護の主要手段だが人間のレビューで一部代替可能	匠Methodブランドの品質基準を維持・保護できること	品質基準に基づく自動検証・改善提案の提供
多案件並行管理・スケーリング機能	21	ファシリテーターが複数案件を並行管理するためのプロジェクト管理機能であり、対応案件数拡大の主要手段だがスプレッドシート等で一部代替可能	AIの活用により、ファシリテーターが同時対応できる案件数を拡大できること	モデリング自動生成による企画プロセスの加速
外部普及・パブリッシュ機能	21	成果物をWebページ・PDF等で外部公開するエクスポート機能であり、匠Method社会普及の主要手段だが手動での公開も一部可能	ツールを通じて匠Methodを広く社会に普及・拡大できること	匠Methodの知見を誰でも活用できる民主化の実現
提案書即時生成機能	21	企画モデルをワンクリックで提案書に変換する機能であり、迅速な提案を支える主要手段だが企画書・計画書自動生成機能と一部機能が重複	企画モデルをもとに企画提案書を迅速に生成できること	企画モデルから提案書・計画書までの一貫生成
品質評価可視化ダッシュボード	13	品質検証結果をスコアや指標で視覚的に表示するダッシュボードであり、ユーザー体験を向上させるがテキストレポートでも最低限は代替可能	成果物の品質評価結果をユーザーに分かりやすく可視化できること	品質基準に基づく自動検証・改善提案の提供
非同期バッチ処理機能	13	モデル生成等をバックグラウンドで非同期実行するジョブ管理機能であり、業務並行を支援するが同期処理でも業務自体は成立する	通常業務と並行して企画プロセスを非同期に進められること	モデリング自動生成による企画プロセスの加速
進行管理・プロセストラッキング機能	13	企画プロセスの進捗をAIが管理・可視化する機能であり、管理負荷削減に寄与するが手動管理でも業務は成立する	企画プロセスの進行管理をAIが支援し、ファシリテーターの管理負荷を削減できること	ステップガイドによる次アクション・判断基準の明確化
ROI・投資対効果可視化機能	13	価値概念のインパクト評価等を統合してROIを可視化するレポート生成機能であり、意思決定支援に有用だが手動試算でも代替可能	企画のROI・投資対効果を可視化し、経営層の意思決定を支援できること	企画モデルから提案書・計画書までの一貫生成
マルチテナント・組織管理機能	13	法人向けの組織階層管理・利用統計機能であり、組織浸透の補完的手段だが個別アカウントでも最低限は運用可能	組織全体に匠Methodを均質に浸透・定着させられること	組織・チームへの匠Method均質浸透の支援
品質統一テンプレート・スタイルガイド機能	13	チームの記述スタイル・フォーマットを統一するテンプレート管理機能であり、品質統一に寄与するが人間のルール策定で一部代替可能	複数メンバーが関与する企画モデリングの品質を統一できること	組織・チームへの匠Method均質浸透の支援
LLM API統合・フォールバック管理機能	13	生成AIプラットフォームAPIの統合レイヤーであり、安定運用に貢献するが単一プロバイダーへの直接接続でも最低限は動作する	生成AIプラットフォームのAPIを継続的・安定的に活用できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
AI処理透明性レポート機能	8	AI生成成果物の根拠・推論過程を記録・開示する機能であり、透明性向上に有用だがなくてもサービスの本質的価値は担保される	AI活用の透明性・信頼性を確保し、経営層のAI導入リスクを低減できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
フィードバック収集・改善データ蓄積機能	8	ユーザーの評価・フィードバックを蓄積・分析する機能であり、改善に有用だが手動のフィードバック収集でも代替可能	生成AIモデルの改善に資するフィードバックを収集・提供できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
ユースケースライブラリ・事例蓄積機能	8	生成AI活用の実用ユースケースを体系化・蓄積するライブラリ機能であり、有用だが個別事例の手動管理でも代替可能	ビジネス企画モデリングにおける生成AI活用の実用ユースケースを確立できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
AI技術スタック管理・ナレッジ共有機能	8	AIエージェント開発の技術知見を組織内で管理・共有する機能であり、有用だが一般的なナレッジ管理ツールで代替可能	AIエージェント開発・運用を通じて組織のAI技術力を蓄積できること	生成AIプラットフォームとの連携による実用性・信頼性の実証
匠Method普及ダッシュボード機能	8	普及指標をトラッキングする活動支援ダッシュボードであり、有用だがなくても普及活動自体は実施可能	ファシリテーターが匠Methodをより多くの組織・個人に普及させられること	匠Methodの知見を誰でも活用できる民主化の実現
